Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
193190,AOA,One Thing,0s0RexCa32S46hFT7JIS0u,20,2015,k-pop,0.539,0.949,11,-3.258,1,0.0389,0.00761,1.3e-06,0.392,0.355,127.984,200883,4
398660,Blackstratblues,Little Castles,7CkE0pc2OCfePJXWaZ1vp9,7,2019,indian,0.46,0.345,1,-7.884,0,0.0336,0.87,0.916,0.0947,0.258,129.92,119384,3
805166,Jennifer Lopez,I'm Glad,7AUfOfYTfiHhgg2Pw1aTpw,40,2002,dance,0.741,0.575,10,-5.416,0,0.0555,0.0398,0.127,0.0853,0.345,93.992,222040,4
184205,Kataklysm,Thy Serpent's Tongue,0dL4JAy0nsDNquenT0v7xQ,44,2015,groove,0.533,0.974,6,-4.077,1,0.0951,1.79e-05,0.0013,0.0589,0.19,115.006,236800,4
293616,Alina Baraz,Electric (feat. Khalid),20TYNq9o5sdBAbkCWE9ih7,59,2017,pop,0.599,0.396,10,-10.489,0,0.0392,0.738,2.19e-05,0.102,0.134,111.072,246327,4
1339407,Mount Kimbie,Ruby,4nEuIUz3MYhErH40zqVm6z,23,2010,chill,0.432,0.431,5,-12.206,1,0.0927,0.191,0.766,0.0651,0.517,140.424,243578,4
850341,Traditional,Cloches de l'Abbatiale et de la Paroissiale,5nrZWwmNBJ5mcqvMhDLuRz,0,2002,sleep,0.217,0.092,0,-17.649,1,0.0354,0.976,0.851,0.109,0.0261,140.561,169960,3
1311417,House Boat,My Life Hurts,62oP01TFVa7n0dO64WKGyN,10,2009,power-pop,0.4,0.945,11,-3.877,1,0.102,0.00909,6.44e-05,0.0949,0.622,173.637,154920,4
190080,Salim–Sulaiman,Ali Maula - MTV Unplugged Version,5ZyizjFZ26FEduIewNnzoA,24,2015,indian,0.463,0.316,4,-13.368,0,0.204,0.658,0.0,0.708,0.127,130.002,454761,4
1430,Music Is the Weapon,The Gauntlet (Bonus Track),61BhxpRAcVzSu2Gb0qob5H,0,2012,afrobeat,0.458,0.844,0,-5.755,0,0.109,0.0886,0.0616,0.129,0.701,160.258,333467,4
837627,Harish Raghavendra,Nammave Ammai,3FMZjSpOkWKYdseNXB7zxh,26,2002,pop-film,0.881,0.556,0,-9.624,1,0.173,0.267,0.0,0.0301,0.905,132.98,282619,4
131746,Kasalla,Pirate,4rZCs12mDDseNSfpOIu5rc,34,2014,german,0.534,0.881,6,-4.196,0,0.0702,0.00139,0.0,0.183,0.36,132.005,236893,4
323352,Bleeding Through,Life,3CvgtnzN97ZVZ4PsVT4sZS,13,2018,death-metal,0.188,0.834,11,-4.767,0,0.107,2.73e-05,8.32e-06,0.397,0.233,179.925,242750,4
350448,Lata Mangeshkar,"Tujhe Dekha To (From ""Dilwale Dulhania Le Jayenge"")",6FZrX6epdqcaQHx9LFRcuf,46,2018,pop-film,0.512,0.479,4,-10.765,0,0.0378,0.765,1.79e-05,0.0648,0.856,97.205,303960,4
1367171,Kyoji Yamamoto,Rapid Fire,3B4qhDZPB6hHFwhlZ5QV7V,1,2010,heavy-metal,0.518,0.943,7,-3.592,1,0.0803,1.46e-05,0.82,0.0895,0.54,130.07,286253,4
236734,Annisokay,Smile,2j16MMr6BH8pzenGDcA7il,23,2016,german,0.459,0.968,8,-5.214,1,0.143,0.000141,0.000181,0.169,0.0961,100.025,286824,4
1458772,Shakin' Stevens,I'll Be Satisfied,4NjbWypqxERuaoHvbkOdUJ,5,2011,rock-n-roll,0.571,0.96,11,-2.771,0,0.0658,0.175,0.00561,0.238,0.68,131.781,191067,4
422081,NEEDTOBREATHE,Silent Night,2WsfrJof0Hh9fz0ZxTC2Ey,24,2020,acoustic,0.301,0.31,1,-8.248,1,0.0319,0.418,5.51e-06,0.109,0.22,169.681,221933,3
1058819,Naoki Kenji,Ashita no taiyo,7FwIUexLyOr8slComgZk0b,5,2006,chill,0.733,0.607,1,-12.994,1,0.0873,0.0376,0.91,0.0885,0.544,102.009,327600,4
608378,E'LAST,Thrill,23l2mR8hgNncbR98Sp9QU1,45,2023,k-pop,0.574,0.83,5,-3.491,1,0.0536,0.0932,0.0,0.101,0.405,76.956,178507,4
198109,Ghulam Ali,Dil Main Ek Lehar Si,4Ucb3qAVVhMo57Bqr4R5wk,28,2015,pop-film,0.293,0.35,6,-11.274,1,0.0321,0.96,0.0011,0.147,0.274,90.771,326240,4
317788,Frédéric Chopin,"Nocturnes, Op. 9: No. 2, Andante in E-Flat Major",6oS2VwJ1vPvCHTmFw0CF3b,29,2018,classical,0.377,0.113,3,-20.774,1,0.0427,0.981,0.905,0.146,0.11,68.426,247525,3
85905,Xavier Wulf,Black Cloud,1Hxqxcqc4hrqHD4EHrBeor,47,2013,hip-hop,0.742,0.749,11,-9.036,0,0.0475,0.0216,0.00307,0.0934,0.16,123.968,201770,4
125188,Barely Alive,Chasing Ghosts - Virtual Riot Remix,40gvXklGGy4yMZTpP4Mee5,12,2014,dub,0.544,0.865,1,-4.564,1,0.168,0.01,0.000182,0.182,0.696,199.977,220650,4
521034,Luis R Conriquez,El Comandante,5ZZIduUosHfi5GQQsbhGGu,42,2021,sad,0.695,0.646,6,-8.638,1,0.248,0.574,0.0,0.176,0.94,110.171,134000,3
646725,Virgin Black,Walk Without Limbs,0RbTpKwDISh1Xv8IJ1aMkL,14,2000,goth,0.286,0.581,2,-9.593,1,0.0337,0.00432,0.702,0.0977,0.0712,137.876,248639,4
558632,Ghost Stories,Primal Energy (Haunted Grounds),1AL97In5wDss9kvY8wRHH4,51,2022,hardstyle,0.348,0.934,10,-4.278,0,0.238,0.0103,7.44e-05,0.0691,0.252,150.185,350077,4
192009,Kamasi Washington,Final Thought,21q13WGjUTmzvroPyUJQdC,28,2015,jazz,0.431,0.817,10,-8.195,0,0.104,0.0667,0.841,0.0953,0.292,130.548,391800,4
355624,lofi.samurai,count,5DesxyNj7IuCraCM6BDZgQ,31,2018,sad,0.362,0.319,9,-13.84,0,0.227,0.677,0.518,0.219,0.473,160.737,118120,4
1377990,Josh Groban,Love Only Knows,5qPtQv8XEJbuSxxM3INxLi,23,2010,opera,0.331,0.266,10,-8.223,1,0.0328,0.809,0.0,0.111,0.102,86.382,280760,3
259385,Beyond,金屬狂人,6u6mrXb8AlvnWRkOJNCVzm,13,2017,cantopop,0.639,0.853,1,-8.989,0,0.0805,0.0921,0.00173,0.09,0.556,129.302,268853,4
214977,Britt Nicole,Through Your Eyes,431nfLBaoR2Iz2JXXfH8La,41,2016,alt-rock,0.655,0.937,11,-2.319,1,0.101,0.273,0.0,0.169,0.501,95.987,197080,4
54778,Hexstatic,Knee Knaw,5b2hvmNM29ua0JBWrY73gv,1,2012,trip-hop,0.712,0.562,1,-12.309,1,0.0363,0.00674,0.808,0.0313,0.261,125.014,233280,4
989737,Venom,Snots Shit - Outtake,6Br14IetyqKdGDoXYkMfT9,2,2005,black-metal,0.225,0.889,7,-6.511,1,0.258,0.221,0.00133,0.148,0.113,163.505,126787,4
459395,Andreas Vollenweider,Fields of Blue,0up5dq6Te7wWjWHkyybjq0,16,2020,new-age,0.244,0.207,6,-18.021,1,0.0331,0.871,0.822,0.109,0.153,82.495,251625,4
1246129,Los Sinners,Mona Lisa,7BDe8x46LMCdroqYpqmbqB,11,2008,rock-n-roll,0.727,0.6,0,-10.179,1,0.0406,0.773,0.0,0.132,0.963,118.619,141662,4
130585,Korn,Get Up (Live from Moscow 2014),0logV552qUiFZ5gmcNwEhF,22,2014,funk,0.422,0.933,1,-5.999,1,0.114,0.000825,5.36e-06,0.387,0.216,141.741,247131,4
582452,Francisco Canaro,No Hay Tierra Como La Mia,77B3HqQMvb1BksqwPwY1Fh,0,2022,tango,0.74,0.385,3,-14.639,0,0.07,0.975,0.474,0.132,0.91,102.368,164885,4
560161,Stargazery,Angel of the Dawn,7JkIjidu5bf1kwJu7bRGha,4,2022,heavy-metal,0.26,0.865,8,-3.743,0,0.0486,0.0953,0.0,0.363,0.543,170.105,251907,4
532728,The Snuts,Zuckerpunch,4DgPIFxoqkIVBvPqXtW2Fa,51,2022,alt-rock,0.653,0.716,7,-5.103,0,0.035,0.0167,4.06e-05,0.219,0.635,110.968,150213,4
1459045,Los Jokers,Que Tristeza,5lLot4avcAYAJiTRNhMT1B,0,2011,rock-n-roll,0.84,0.461,0,-8.791,1,0.0406,0.0331,3.12e-06,0.039,0.939,109.805,189283,4
17483,Black Uhuru,Abortion,0xqMJRYFt877FQjjt16Pa0,13,2012,dub,0.867,0.275,6,-14.512,0,0.0857,0.0417,0.292,0.0414,0.423,131.283,445627,4
561524,Mark Battles,When I Met J.Cole,4IOnL84n9q4Y2AscxnpbLD,14,2022,indian,0.648,0.706,1,-7.811,1,0.342,0.0827,0.0,0.53,0.744,76.907,144579,3
247927,GOT7,Prove It,1JawNrC8uFnFomifyONahL,35,2016,k-pop,0.688,0.687,4,-3.04,0,0.0629,0.274,0.0,0.578,0.385,122.903,174880,4
1010019,The Subways,Somewhere - Umgeben Version,5fkdoLsuNxTsGesRJtXUfN,1,2005,garage,0.419,0.352,3,-11.621,0,0.03,0.54,0.655,0.123,0.222,125.586,208613,4
16212,Klaus & Klaus,Der Deutsche Meister kommt vom Weserstrand,1sehlVFZdArJH4tyVGe5kE,12,2012,disco,0.563,0.625,7,-5.745,1,0.0249,0.0142,0.0,0.469,0.638,92.968,201053,3
345044,BLACKPINK,SEE U LATER - Japanese Version,7IS4NciwYPs1wMywOKx69z,56,2018,k-pop,0.774,0.907,0,-3.799,1,0.114,0.0322,0.0,0.508,0.659,107.005,199933,4
124975,Rich Edwards,Sweetest Addiction - Radio Edit,4TNzToIhuD5DVdfVnPgs4B,28,2014,dub,0.529,0.915,7,-5.809,0,0.0851,0.0242,0.0001,0.526,0.381,127.972,184782,4
963421,Sticky Kids,Let's Work Out,7qwHZbzK5Sqlv7AgbZfUId,8,2004,party,0.823,0.428,4,-11.555,1,0.0697,0.747,1.38e-06,0.598,0.71,109.926,123333,4
474127,GRANT,Words,0m3c2NJPkeDWScBn0Afje1,51,2020,swedish,0.658,0.6,0,-8.126,1,0.049,0.192,0.00128,0.101,0.415,125.867,196461,3
232953,JOSEPH,Canyon,2SzIui6zoL8iXbKn6nU7sr,35,2016,folk,0.401,0.783,6,-4.435,1,0.0456,0.0111,0.163,0.144,0.533,166.138,175067,4
58791,Tiamat,Before Another Wilbury Dies,4yUayTd1OoG9ppOTSPWyDb,14,2013,black-metal,0.142,0.995,9,-1.664,0,0.0607,4.61e-05,0.926,0.348,0.228,140.485,99773,4
583559,Bent,Non Perrier,4rZqwJaeqqiCGzQ83NejX1,15,2022,trip-hop,0.616,0.695,4,-6.747,0,0.028,0.028,0.108,0.191,0.524,107.016,166160,4
970165,Chabelos,Luisa,4pBkMzG07aiYae6DUpohT2,35,2004,punk-rock,0.398,0.743,0,-4.726,1,0.0992,0.132,4.83e-06,0.0739,0.53,166.529,243547,4
815730,Forrozão Baby Som,Meu Inesquecível Amor,78FuRMdpYreP711QwSzbuD,3,2002,forro,0.563,0.889,7,-4.513,1,0.0869,0.243,0.0,0.118,0.612,98.215,194247,4
1084096,BLINDMAN,Carry On,5PZxCKwFIOyvJZodxQeSCB,0,2006,heavy-metal,0.465,0.778,5,-5.945,0,0.0328,0.00152,0.0,0.118,0.626,94.054,285027,4
747530,Severed Savior,Steel Toe Abortion,5mLm41YU0e5DSrQCrj03s0,1,2001,death-metal,0.321,0.992,2,-6.763,1,0.0973,0.00036,0.85,0.442,0.191,121.238,174759,4
1271933,Sharon Shannon,Saints and Angels,6K2hUNlykEdN5bBJRDVQgV,18,2009,country,0.25,0.587,4,-10.812,1,0.0397,0.0665,0.00699,0.0907,0.464,185.403,314013,3
1111943,Traditional,Ad Laudes Antiphona: Innuebant Patri Eius + Ps.99,0rIdLXaD3D5qyIdZIcSKca,0,2006,sleep,0.315,0.0924,5,-18.495,0,0.0822,0.994,0.0,0.118,0.209,81.957,74347,1
45066,Edwin Luna y La Trakalosa de Monterrey,Solo Queda,7mFE2z3RHq32r5z0k8U2Ud,21,2012,sad,0.625,0.543,10,-4.813,1,0.066,0.722,1.01e-06,0.0661,0.961,160.196,163333,4
1042555,Kate Bush,Pi - 2018 Remaster,6UaUjHFc3YnKnk9R8wN4ww,14,2005,singer-songwriter,0.323,0.329,2,-19.211,1,0.0314,0.753,0.815,0.107,0.65,66.725,369533,4
1442795,Stacey Kent,"Corcovado. ""Quiet Nights of Quiet Stars"" - Live",2UpPZjvSxNCXhaclokOmbi,37,2011,jazz,0.567,0.281,11,-16.137,0,0.0404,0.915,0.035,0.676,0.271,111.281,333123,4
374026,Mack Keane,Take Some Time,4JmSXIEQM1851Q3K9SYOw5,35,2019,chill,0.655,0.824,7,-3.765,1,0.195,0.261,0.0,0.129,0.491,104.999,170600,4
160073,ATB,Hard to Cure - ATB in Concert Live in New York,00FyNddlQZ4lYu9kZqLnmk,4,2014,techno,0.642,0.802,6,-4.722,0,0.0283,0.0162,0.0626,0.934,0.22,130.003,395736,4
737664,Jon Hopkins,Opalescent,0fZXClbtHvHG0FDWpQy1wg,30,2001,ambient,0.141,0.0573,6,-27.226,0,0.0427,0.956,0.91,0.139,0.0378,142.063,131400,5
1294177,Winger,Always Within Me - Remastered,1zHyHaVpKm6jCA4ssV7Nvq,18,2009,hard-rock,0.451,0.76,4,-6.978,0,0.0452,0.0394,3.13e-06,0.11,0.229,112.004,255386,4
1109476,Frank Wildhorn,Someone Like You,7xRdDAyrdQXKzJkniNjJCA,6,2006,show-tunes,0.351,0.236,5,-7.796,1,0.0312,0.595,0.0,0.0847,0.0613,140.086,236867,4
1296473,Timo Rautiainen & Trio Niskalaukaus,Hämmennys Ja Viha,0s1o1jzVdR895ykao4KpA8,3,2009,heavy-metal,0.599,0.81,0,-5.24,0,0.0332,4.59e-05,0.0,0.264,0.594,137.913,162840,4
62,Ann Sally,Mother's Song,3pkVDKAPIhrpsAR79fa05P,30,2012,acoustic,0.27,0.0758,0,-14.469,1,0.0384,0.961,3.55e-05,0.136,0.354,76.388,310640,4
863196,Jenny Tseng,秋歌,1B3HxJMEeWTXqkgKxct452,5,2003,cantopop,0.387,0.287,0,-11.846,0,0.0326,0.967,0.000167,0.257,0.225,95.728,195704,4
361708,The Internet,La Di Da,5IIq5uEYpUZoSjTEjqn7q1,44,2018,soul,0.685,0.745,1,-6.659,1,0.117,0.259,3.11e-05,0.107,0.834,103.119,207013,4
72256,Synthetic Epiphany,Secrets,1LHwGRx0HrWTbFHintJyzd,4,2013,dubstep,0.672,0.237,5,-17.171,0,0.0531,0.0908,0.915,0.117,0.243,139.978,200620,4
358999,Andrew Lloyd Webber,I Don't Know How to Love Him - Live,0XhPuBjgeQFrYNHWESmsjR,6,2018,show-tunes,0.256,0.69,2,-6.829,1,0.0376,0.172,0.0,0.965,0.312,139.74,269187,4
1387824,Ivan Rebroff,Patrouille des cosaques,4NBDdJ7xivIwa8pmXtBNxw,27,2010,romance,0.389,0.5,4,-11.65,0,0.0385,0.864,0.098,0.0718,0.216,136.433,165760,4
1335573,Witchery,Witch Hunter,0wO5ywmNq4CcFxPy45c8wL,9,2010,black-metal,0.414,0.998,0,-3.829,1,0.13,4.7e-06,0.846,0.306,0.0738,149.981,207747,4
253569,NEEDTOBREATHE,HARD LOVE (feat. Serena Ryder),52mfeInVtaZN7nx2WSDSJX,19,2017,acoustic,0.519,0.888,11,-3.416,0,0.113,0.216,0.0,0.19,0.578,80.929,204000,4
1239512,Shafqat Amanat Ali,Khaireyan De Naal,0WxdqHRbdQ1R83ZvZ0qerN,25,2008,pop-film,0.46,0.402,3,-12.184,1,0.0306,0.6,0.000186,0.116,0.576,140.063,276558,4
743100,Arcangelo Corelli,"Concerto Grosso In G Minor, de Navidad, Op. 6, No. 8: III. Adagio-Allegro-Adagio",6RSjFHPFnHgUxZA2nuInRb,16,2001,classical,0.217,0.232,3,-15.128,1,0.0348,0.919,0.89,0.126,0.143,91.35,216800,3
442615,Tierry,Coração De Espelho,7ptAv8ruOJX1FdkAqJLUJg,37,2020,forro,0.56,0.708,11,-3.905,0,0.0577,0.439,0.0,0.518,0.741,130.042,168923,4
43239,Green Day,Lazy Bones,3WWXaKWdIcRdvhxteF9MD3,41,2012,punk,0.543,0.924,1,-3.286,0,0.0722,0.000432,6.29e-06,0.0545,0.836,167.011,214480,4
636465,U-Roy,A Little Dub,6MmcEB2MhRODtUqwa2WhSu,0,2000,dub,0.646,0.523,1,-14.441,1,0.232,0.483,0.849,0.327,0.555,85.957,251667,4
659553,Miriam Stockley,Wishing On A Star,5RZ1LNzjnrMuSYo0VmBtkw,40,2000,new-age,0.303,0.653,2,-9.241,0,0.0459,0.743,0.00367,0.0917,0.55,145.646,83627,4
39843,Troglauer,Volxmusik,7HbO0kb4TrZddFpedpuKEa,16,2012,party,0.705,0.967,3,-3.595,1,0.0335,0.00168,0.0,0.0841,0.836,135.0,181667,4
896567,Str8jackit,Ring It,1dpA73nTUFbQkfyky95fp6,1,2003,metalcore,0.861,0.722,5,-6.651,1,0.195,0.0268,0.0,0.0514,0.518,97.983,103400,4
979805,Keith Sweat,Merry Go Round - Single Version; 2007 Remaster,4VXu6ethrmhx7v6NSMZZtu,26,2004,soul,0.573,0.626,0,-8.934,0,0.0524,0.258,0.0,0.0606,0.438,131.85,295787,4
599578,The Tubs,Dead Meat,6wJr5Ve9CnIKWdq5eXiruj,32,2023,garage,0.18,0.948,9,-7.907,1,0.091,0.000207,0.00067,0.192,0.628,150.892,90147,4
17769,Tappa Zukie,Cool This Dub,4fm9UeSC5lEDIbl23aHeAd,12,2012,dub,0.713,0.365,11,-11.618,0,0.062,0.0107,0.847,0.0975,0.392,142.172,208573,4
141665,Gerald Albright,Because Of You,6neOhWrEXAny5DKmVGnlHo,45,2014,jazz,0.585,0.657,10,-7.785,1,0.0574,0.58,0.0151,0.127,0.466,84.529,316107,4
1465778,Subliminal Mind Expansion,Ocean & Alpha Binaural Waves For Concentration & Focus,1cHDRfrnXo4ey6T8LAtNcN,7,2011,sleep,0.0692,0.00686,6,-40.362,1,0.059,0.913,0.879,0.108,0.0217,77.815,747500,4
1069995,Club des Belugas,Skip to the bip,7pqibeYtZ1BzdVkTFdb6Dg,38,2006,electro,0.682,0.977,7,-7.471,0,0.0317,0.00548,0.618,0.111,0.539,95.013,264733,4
199998,Yotto,Coming Back To You - Radio Edit,2kfh1D9G7uiHTk6wcPwzTb,19,2015,progressive-house,0.766,0.635,5,-5.828,0,0.0483,0.01,0.804,0.177,0.646,120.046,215700,4
621512,Francisco Canaro,Pericón por Maria,6lKdgFs14sduXyixrXfTOq,8,2023,tango,0.542,0.366,4,-10.714,1,0.215,0.956,4.34e-05,0.133,0.896,69.12,267450,3
321444,NOTD,Been There Done That (feat. Tove Styrke),0m0hFyrAqGKaVJ7D24Jozg,50,2018,dance,0.496,0.793,5,-6.122,1,0.297,0.00954,0.0,0.325,0.62,191.928,197113,4
761488,Templo Soul,Aspirador de Pó,2wdra9N3e0Ek7RlpjTeJX0,4,2001,groove,0.635,0.439,8,-10.669,0,0.048,0.0565,0.0,0.0328,0.652,172.098,230613,4
559498,Ricardo Iorio,Horizonte Perdido,4Y9UV4SuVAuXlydUS0i2Vw,13,2022,heavy-metal,0.369,0.617,7,-9.631,1,0.0347,0.107,0.968,0.519,0.72,90.014,65778,4
114500,Joey Yung,心花怒放 (1314容祖兒演唱會),11YsX1aEd3aKq0G5jXxxor,11,2014,cantopop,0.631,0.98,0,-3.093,0,0.0994,0.414,0.0,0.488,0.322,120.029,214333,4
749772,Tony Roots,Heathen Rage,2Ey4KkNrNcVqcbF7BnOVcj,0,2001,dub,0.823,0.568,0,-5.176,0,0.0777,0.0585,0.0,0.213,0.656,76.996,203733,4
492565,BCee,History - Technimatic Remix,4P4CX7yw6Q1ld9qoooLxb7,16,2021,drum-and-bass,0.558,0.734,5,-5.803,0,0.0457,0.00118,0.244,0.246,0.08,174.994,317185,4
270182,Bihler,Tilt,1mBsA7LPkVA9SuHEJdcE53,46,2017,dub,0.411,0.566,11,-10.066,0,0.0312,0.0039,0.395,0.245,0.348,139.978,144262,4
1215526,Marcus Miller,Ooh,3ekHCGSu3S22MKYesc4zu5,10,2008,funk,0.857,0.448,0,-7.778,1,0.0387,0.00818,0.011,0.137,0.798,97.021,238400,4
1459169,Billy Lee Riley,Susie-Q,4uskvR32sBnAJnxwshoRVK,1,2011,rock-n-roll,0.542,0.725,1,-8.259,0,0.0345,0.588,3.48e-05,0.686,0.899,151.186,161240,4
453480,Future,Stripes Like Burberry,6lt8iodSkYWEV0ifKCSlfg,49,2020,hip-hop,0.758,0.574,9,-7.833,0,0.217,0.216,0.0,0.144,0.706,144.081,274313,4
227577,Mau Kilauea,Linger,3FbYl0gYlno8M8SjTqC0Ns,26,2016,deep-house,0.73,0.746,3,-4.386,1,0.0314,0.626,0.00634,0.129,0.191,104.959,259274,4
1095717,Antonio Sacchini,"Oedipe a Colone: Act II Scene 2: Recitative: Ta consolante voix - Duet: Filles du Styx (Oedipe, Antigone)",7HOA8f9YHLAEQB7o99NBhF,0,2006,opera,0.356,0.161,4,-21.246,1,0.101,0.96,2.89e-05,0.597,0.147,142.309,437027,4
1312944,Marco V,Unprepared [ASOT 437] - Original Mix,5DVJeMT4Aamp9MhfJHI4NZ,9,2009,progressive-house,0.549,0.83,10,-9.034,1,0.0362,0.000119,0.365,0.366,0.673,132.984,108281,4
563316,Mandevilla,Views Of Dawn,3XCyhZ9xWZyF1Rn9lZJqCZ,56,2022,jazz,0.599,0.153,0,-17.978,1,0.0402,0.963,0.846,0.103,0.0682,67.423,293750,4
593484,Milk & Sugar,Feels Like - UK Radio Version,6B7MKXngo3BoBIHAYRi2gm,22,2023,deep-house,0.713,0.958,11,-4.611,0,0.168,0.0334,2.43e-05,0.373,0.904,122.996,156346,4
1417353,Fred Falke,Last Wave - Original Mix,2pR5B82qELi8r1He1hnsq7,10,2011,disco,0.804,0.66,2,-4.986,1,0.389,0.00131,5.41e-05,0.117,0.445,125.969,519882,4
287495,Angelspit,"I, Weapon",5IEKL6sstkE3nzvisJi8D2,6,2017,industrial,0.578,0.937,0,-5.258,1,0.0671,0.000713,0.0379,0.278,0.577,136.072,182200,4
72359,Tritonal,Bullet That Saved Me - Radio Edit,64kvps4cwu1DP2hKdK5vp2,2,2013,dubstep,0.565,0.913,5,-5.801,0,0.0438,0.00482,0.000142,0.352,0.515,126.012,193531,4
759762,Martha Munizzi,It's Time to Dance,54P2ItoJjTqLm0lbKLGhRH,5,2001,gospel,0.811,0.784,5,-5.616,0,0.102,0.135,0.0,0.775,0.81,116.046,277200,4
347306,Frankyeffe,Eterea - Original Mix,6bEBq4YV9txwBrUzQWEeYt,1,2018,minimal-techno,0.693,0.701,7,-12.336,1,0.0437,0.0882,0.932,0.11,0.114,126.002,584261,4
1405858,Blues Saraceno,5-4-3-2-1 Here We Go!,3jIwkYhC5Twu64nngfvUSk,22,2011,blues,0.456,0.937,9,-4.757,1,0.104,0.00134,0.0,0.347,0.62,182.034,183477,4
1391792,John Prine,Your Flag Decal Won't Get You into Heaven Anymore - Live,7Ifi1zWrF8dTv9LdNCZqWz,12,2010,singer-songwriter,0.443,0.301,5,-10.615,1,0.259,0.482,0.0,0.632,0.751,80.211,335653,4
418252,Natos y Waor,Tranquilito (feat. Alejandro Deese),3nm1q5QYFIatMWkX1SHYem,48,2019,spanish,0.795,0.533,9,-9.401,1,0.306,0.115,0.0,0.0765,0.0918,99.989,185167,4
363943,Ángel Vargas,Nata Linda,1eo6xg6vAuez19yIQe5WnL,0,2018,tango,0.563,0.197,11,-18.975,1,0.126,0.996,0.889,0.111,0.824,145.973,155012,3
1211302,TTNG,"It's Not True Rufus, Don't Listen to the Hat",1gfuWiVWkj6qbZiXGs7yES,23,2008,emo,0.477,0.726,0,-7.6,0,0.0323,0.00288,0.385,0.0795,0.26,156.953,291871,3
289360,The Word Alive,Misery,2fVIQFxGHSJHR5RYG4SMpI,48,2017,metal,0.447,0.984,1,-4.225,1,0.164,0.000222,1.21e-05,0.0893,0.128,144.034,193333,4
1106053,Juriy Morfessi,Tol'ko raz byvajut v zhizni vstrechi,2XxbUnOSH4WlQ9ptPZbQUr,0,2006,romance,0.409,0.0792,2,-16.43,0,0.0467,0.995,0.0035,0.0823,0.0928,132.498,176391,1
470879,Noah Reid,I Had a Dream Last Night,71r093I2lsWBAu4iPH7nWR,20,2020,singer-songwriter,0.39,0.525,1,-9.993,1,0.0515,0.327,0.0768,0.0804,0.14,156.172,317797,4
1211681,The Spill Canvas,Saved - Acoustic,1z7ycUpdLT491HYAnaMckd,8,2008,emo,0.602,0.42,1,-5.828,1,0.0273,0.722,6.93e-06,0.0968,0.148,74.966,233227,4
298719,La Fiera de Ojinaga,Me Derrumbe a Tus Pies,4ffq2RbEX6EQ7Irj73zUHA,36,2017,sad,0.639,0.873,2,-3.149,1,0.049,0.303,0.0,0.374,0.692,120.908,204949,4
467943,Roberto Roena,Puerto Rican Blues,6Pd635fhlup1F1dBcDjcrX,6,2020,salsa,0.465,0.609,5,-5.801,0,0.0403,0.505,0.835,0.147,0.538,152.24,403934,4
